sample_index,day,disintegration,max_L,t0,k0
1,98,0.009233974885700248,9.519247,149.1122,0.13572515397335033
1,99,0.010574799421634081,9.519247,149.1122,0.13572515397335033
1,100,0.012110071215947038,9.519247,149.1122,0.13572515397335033
1,101,0.013867911943997788,9.519247,149.1122,0.13572515397335033
1,102,0.015880486315141072,9.519247,149.1122,0.13572515397335033
1,103,0.01818457585882098,9.519247,149.1122,0.13572515397335033
1,104,0.02082223181085743,9.519247,149.1122,0.13572515397335033
1,105,0.023841517273180825,9.519247,149.1122,0.13572515397335033
1,106,0.027297349895096502,9.519247,149.1122,0.13572515397335033
1,107,0.03125245743383725,9.519247,149.1122,0.13572515397335033
1,108,0.03577845966616993,9.519247,149.1122,0.13572515397335033
1,109,0.040957091196220555,9.519247,149.1122,0.13572515397335033
1,110,0.04688158067343577,9.519247,149.1122,0.13572515397335033
1,111,0.053658202709678755,9.519247,149.1122,0.13572515397335033
1,112,0.06140801924447985,9.519247,149.1122,0.13572515397335033
1,113,0.07026882708964294,9.519247,149.1122,0.13572515397335033
1,114,0.08039732767362795,9.519247,149.1122,0.13572515397335033
1,115,0.09197153332201002,9.519247,149.1122,0.13572515397335033
1,116,0.10519342139238291,9.519247,149.1122,0.13572515397335033
1,117,0.12029184277336104,9.519247,149.1122,0.13572515397335033
1,118,0.13752568408736604,9.519247,149.1122,0.13572515397335033
1,119,0.1571872727056564,9.519247,149.1122,0.13572515397335033
1,120,0.1796059995499313,9.519247,149.1122,0.13572515397335033
1,121,0.20515211563084165,9.519247,149.1122,0.13572515397335033
1,122,0.234240633239179,9.519247,149.1122,0.13572515397335033
1,123,0.2673352304427642,9.519247,149.1122,0.13572515397335033
1,124,0.3049520168122744,9.519247,149.1122,0.13572515397335033
1,125,0.3476629679749102,9.519247,149.1122,0.13572515397335033
1,126,0.3960987758714133,9.519247,149.1122,0.13572515397335033
1,127,0.4509507903042747,9.519247,149.1122,0.13572515397335033
1,128,0.5129716464328943,9.519247,149.1122,0.13572515397335033
1,129,0.5829740848939394,9.519247,149.1122,0.13572515397335033
1,130,0.6618273812224769,9.519247,149.1122,0.13572515397335033
1,131,0.7504507175179322,9.519247,149.1122,0.13572515397335033
1,132,0.849802764282267,9.519247,149.1122,0.13572515397335033
1,133,0.960866711348879,9.519247,149.1122,0.13572515397335033
1,134,1.0846300161899485,9.519247,149.1122,0.13572515397335033
1,135,1.2220582524015975,9.519247,149.1122,0.13572515397335033
1,136,1.3740626698346017,9.519247,149.1122,0.13572515397335033
1,137,1.5414614477487727,9.519247,149.1122,0.13572515397335033
1,138,1.7249351520532161,9.519247,149.1122,0.13572515397335033
1,139,1.9249775981122026,9.519247,149.1122,0.13572515397335033
1,140,2.141844144631546,9.519247,149.1122,0.13572515397335033
1,141,2.375500336744932,9.519247,149.1122,0.13572515397335033
1,142,2.6255746688989405,9.519247,149.1122,0.13572515397335033
1,143,2.8913199010449935,9.519247,149.1122,0.13572515397335033
1,144,3.1715876605584645,9.519247,149.1122,0.13572515397335033
1,145,3.4648208284978432,9.519247,149.1122,0.13572515397335033
1,146,3.769067322393485,9.519247,149.1122,0.13572515397335033
1,147,4.082017324536021,9.519247,149.1122,0.13572515397335033
1,148,4.401063872624405,9.519247,149.1122,0.13572515397335033
1,149,4.723384278203662,9.519247,149.1122,0.13572515397335033
1,150,5.046037429805614,9.519247,149.1122,0.13572515397335033
1,151,5.366070078959294,9.519247,149.1122,0.13572515397335033
1,152,5.680624057165205,9.519247,149.1122,0.13572515397335033
1,153,5.987036251069595,9.519247,149.1122,0.13572515397335033
1,154,6.2829240949928895,9.519247,149.1122,0.13572515397335033
1,155,6.566251144861446,9.519247,149.1122,0.13572515397335033
1,156,6.835369640427749,9.519247,149.1122,0.13572515397335033
1,157,7.089039438885818,9.519247,149.1122,0.13572515397335033
1,158,7.326424933223051,9.519247,149.1122,0.13572515397335033
1,159,7.547073274041225,9.519247,149.1122,0.13572515397335033
1,160,7.750878254023032,9.519247,149.1122,0.13572515397335033
1,161,7.938034586719615,9.519247,149.1122,0.13572515397335033
1,162,8.108987118270118,9.519247,149.1122,0.13572515397335033
1,163,8.264378913870349,9.519247,149.1122,0.13572515397335033
1,164,8.405001336623167,9.519247,149.1122,0.13572515397335033
1,165,8.531748341772754,9.519247,149.1122,0.13572515397335033
1,166,8.64557636273744,9.519247,149.1122,0.13572515397335033
1,167,8.74747044138772,9.519247,149.1122,0.13572515397335033
1,168,8.838416688520548,9.519247,149.1122,0.13572515397335033
1,169,8.919380755863832,9.519247,149.1122,0.13572515397335033
1,170,8.991291742758088,9.519247,149.1122,0.13572515397335033
1,171,9.05503082307282,9.519247,149.1122,0.13572515397335033
1,172,9.111423831895623,9.519247,149.1122,0.13572515397335033
1,173,9.161237069562986,9.519247,149.1122,0.13572515397335033
1,174,9.2051756392247,9.519247,149.1122,0.13572515397335033
1,175,9.243883714912064,9.519247,149.1122,0.13572515397335033
1,176,9.277946226531377,9.519247,149.1122,0.13572515397335033
1,177,9.307891537175388,9.519247,149.1122,0.13572515397335033
1,178,9.334194770957923,9.519247,149.1122,0.13572515397335033
1,179,9.357281523157951,9.519247,149.1122,0.13572515397335033
1,180,9.377531747569519,9.519247,149.1122,0.13572515397335033
1,181,9.395283668558589,9.519247,149.1122,0.13572515397335033
1,182,9.410837608120085,9.519247,149.1122,0.13572515397335033
1,183,9.424459652284636,9.519247,149.1122,0.13572515397335033
1,184,9.436385107772852,9.519247,149.1122,0.13572515397335033
1,185,9.446821720065946,9.519247,149.1122,0.13572515397335033
1,186,9.45595263920194,9.519247,149.1122,0.13572515397335033
1,187,9.463939130635246,9.519247,149.1122,0.13572515397335033
1,188,9.470923036288639,9.519247,149.1122,0.13572515397335033
1,189,9.477028996211052,9.519247,149.1122,0.13572515397335033
1,190,9.482366444630975,9.519247,149.1122,0.13572515397335033
1,191,9.487031396144094,9.519247,149.1122,0.13572515397335033
1,192,9.49110803867601,9.519247,149.1122,0.13572515397335033
1,193,9.494670150013372,9.519247,149.1122,0.13572515397335033
1,194,9.497782354328102,9.519247,149.1122,0.13572515397335033
1,195,9.500501234403202,9.519247,149.1122,0.13572515397335033
1,196,9.502876314334479,9.519247,149.1122,0.13572515397335033
1,197,9.504950926426279,9.519247,149.1122,0.13572515397335033
1,198,9.506762974889982,9.519247,149.1122,0.13572515397335033
1,199,9.508345607840159,9.519247,149.1122,0.13572515397335033
1,200,9.509727807998656,9.519247,149.1122,0.13572515397335033
2,0,2.6825503211399494e-08,6.3910146,147.26775,0.13097780297688646
2,1,3.05795305784337e-08,6.3910146,147.26775,0.13097780297688646
2,2,3.4858905831191314e-08,6.3910146,147.26775,0.13097780297688646
2,3,3.9737147452844894e-08,6.3910146,147.26775,0.13097780297688646
2,4,4.5298062284776645e-08,6.3910146,147.26775,0.13097780297688646
2,5,5.163718530477328e-08,6.3910146,147.26775,0.13097780297688646
2,6,5.8863420891305524e-08,6.3910146,147.26775,0.13097780297688646
2,7,6.710091377034133e-08,6.3910146,147.26775,0.13097780297688646
2,8,7.649118178701864e-08,6.3910146,147.26775,0.13097780297688646
2,9,8.71955471425755e-08,6.3910146,147.26775,0.13097780297688646
2,10,9.939790786447671e-08,6.3910146,147.26775,0.13097780297688646
2,11,1.1330789712277656e-07,6.3910146,147.26775,0.13097780297688646
2,12,1.2916448466883287e-07,6.3910146,147.26775,0.13097780297688646
2,13,1.4724008226800733e-07,6.3910146,147.26775,0.13097780297688646
2,14,1.678452236564382e-07,6.3910146,147.26775,0.13097780297688646
2,15,1.9133389942210202e-07,6.3910146,147.26775,0.13097780297688646
2,16,2.181096384617558e-07,6.3910146,147.26775,0.13097780297688646
2,17,2.4863244049125934e-07,6.3910146,147.26775,0.13097780297688646
2,18,2.834266787075662e-07,6.3910146,147.26775,0.13097780297688646
2,19,3.230901083675103e-07,6.3910146,147.26775,0.13097780297688646
2,20,3.683041360477354e-07,6.3910146,147.26775,0.13097780297688646
2,21,4.1984552600810125e-07,6.3910146,147.26775,0.13097780297688646
2,22,4.785997447697312e-07,6.3910146,147.26775,0.13097780297688646
2,23,5.455761731626578e-07,6.3910146,147.26775,0.13097780297688646
2,24,6.219254471802778e-07,6.3910146,147.26775,0.13097780297688646
2,25,7.0895922554967e-07,6.3910146,147.26775,0.13097780297688646
2,26,8.081727236165257e-07,6.3910146,147.26775,0.13097780297688646
2,27,9.21270400667167e-07,6.3910146,147.26775,0.13097780297688646
2,28,1.050195241984295e-06,6.3910146,147.26775,0.13097780297688646
2,29,1.1971621386882613e-06,6.3910146,147.26775,0.13097780297688646
2,30,1.3646959388127905e-06,6.3910146,147.26775,0.13097780297688646
2,31,1.555674823312293e-06,6.3910146,147.26775,0.13097780297688646
2,32,1.7733797521758505e-06,6.3910146,147.26775,0.13097780297688646
2,33,2.021550830101879e-06,6.3910146,147.26775,0.13097780297688646
2,34,2.3044515600586534e-06,6.3910146,147.26775,0.13097780297688646
2,35,2.6269420885611314e-06,6.3910146,147.26775,0.13097780297688646
2,36,2.994562700961322e-06,6.3910146,147.26775,0.13097780297688646
2,37,3.413629001130979e-06,6.3910146,147.26775,0.13097780297688646
2,38,3.891340410635835e-06,6.3910146,147.26775,0.13097780297688646
2,39,4.435903851307425e-06,6.3910146,147.26775,0.13097780297688646
2,40,5.056674735941189e-06,6.3910146,147.26775,0.13097780297688646
2,41,5.7643176891673256e-06,6.3910146,147.26775,0.13097780297688646
2,42,6.570989759459414e-06,6.3910146,147.26775,0.13097780297688646
2,43,7.490549269584901e-06,6.3910146,147.26775,0.13097780297688646
2,44,8.538793893194735e-06,6.3910146,147.26775,0.13097780297688646
2,45,9.733732047257854e-06,6.3910146,147.26775,0.13097780297688646
2,46,1.1095892262288148e-05,6.3910146,147.26775,0.13097780297688646
2,47,1.2648675844609879e-05,6.3910146,147.26775,0.13097780297688646
2,48,1.4418758888458537e-05,6.3910146,147.26775,0.13097780297688646
2,49,1.6436550543277982e-05,6.3910146,147.26775,0.13097780297688646
2,50,1.8736715407695274e-05,6.3910146,147.26775,0.13097780297688646
2,51,2.1358769022906744e-05,6.3910146,147.26775,0.13097780297688646
2,52,2.4347756693482304e-05,6.3910146,147.26775,0.13097780297688646
2,53,2.775502729441684e-05,6.3910146,147.26775,0.13097780297688646
2,54,3.163911535415916e-05,6.3910146,147.26775,0.13097780297688646
2,55,3.606674656228438e-05,6.3910146,147.26775,0.13097780297688646
2,56,4.111398396929646e-05,6.3910146,147.26775,0.13097780297688646
2,57,4.686753456104636e-05,6.3910146,147.26775,0.13097780297688646
2,58,5.3426238642774304e-05,6.3910146,147.26775,0.13097780297688646
2,59,6.0902767604935913e-05,6.3910146,147.26775,0.13097780297688646
2,60,6.94255592184092e-05,6.3910146,147.26775,0.13097780297688646
