test_id,n_polymers,blend_type,materials,polymer_types,blend_input,success,property_value,error,thickness
38,3,random_sample_1,"['PLA Ingeo 4043D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.4432493987260315, PHB, BIOCYCLE® 1000, 0.3028923346102747, PHA, PHACT S1000P, 0.25385826666369393",True,43.19405044903608,,50.0
39,3,random_sample_2,"['PLA Ingeo 4043D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.5224757715552218, PHB, BIOCYCLE® 1000, 0.22382580133841742, PHA, PHACT S1000P, 0.25369842710636065",True,46.157334902801274,,50.0
40,3,random_sample_3,"['PLA Ingeo 4043D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.28314921838356377, PHB, BIOCYCLE® 1000, 0.2049092966579117, PHA, PHACT S1000P, 0.5119414849585245",True,42.138640950731386,,50.0
41,3,equal,"['PLA Ingeo 4043D', 'PHB ENMAT Y3000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.3333333333333333, PHB, ENMAT Y3000, 0.3333333333333333, PHA, PHACT A1000P, 0.3333333333333333",True,41.01853108501657,,50.0
42,3,random_sample_1,"['PLA Ingeo 4043D', 'PHB ENMAT Y3000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.34784638305856946, PHB, ENMAT Y3000, 0.1557685483466158, PHA, PHACT A1000P, 0.4963850685948147",True,44.55621509183891,,50.0
43,3,random_sample_2,"['PLA Ingeo 4043D', 'PHB ENMAT Y3000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.06034236158880425, PHB, ENMAT Y3000, 0.5317756585250245, PHA, PHACT A1000P, 0.4078819798861712",True,38.121054479088905,,50.0
44,3,random_sample_3,"['PLA Ingeo 4043D', 'PHB ENMAT Y3000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.5468898098214098, PHB, ENMAT Y3000, 0.3120037143768283, PHA, PHACT A1000P, 0.1411064758017619",True,44.99858008671404,,50.0
45,3,equal,"['PLA Ingeo 4043D', 'PHB ENMAT Y3000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.3333333333333333, PHB, ENMAT Y3000, 0.3333333333333333, PHA, PHACT S1000P, 0.3333333333333333",True,42.325654430063004,,50.0
46,3,random_sample_1,"['PLA Ingeo 4043D', 'PHB ENMAT Y3000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.43178839893309207, PHB, ENMAT Y3000, 0.47319953823309263, PHA, PHACT S1000P, 0.09501206283381532",True,44.95847805733871,,50.0
47,3,random_sample_2,"['PLA Ingeo 4043D', 'PHB ENMAT Y3000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.541621771251505, PHB, ENMAT Y3000, 0.24801146707035382, PHA, PHACT S1000P, 0.2103667616781412",True,46.84172084539577,,50.0
48,3,random_sample_3,"['PLA Ingeo 4043D', 'PHB ENMAT Y3000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.17399432318067912, PHB, ENMAT Y3000, 0.5412853562235295, PHA, PHACT S1000P, 0.2847203205957914",True,41.765370024163744,,50.0
49,3,equal,"['PLA Ingeo 4043D', 'PHB ENMAT™ Y1000P', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.3333333333333333, PHB, ENMAT™ Y1000P, 0.3333333333333333, PHA, PHACT A1000P, 0.3333333333333333",True,39.62564987222683,,50.0
50,3,random_sample_1,"['PLA Ingeo 4043D', 'PHB ENMAT™ Y1000P', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.3520859118251489, PHB, ENMAT™ Y1000P, 0.37689404457081266, PHA, PHACT A1000P, 0.2710200436040384",True,38.62107947211266,,50.0
51,3,random_sample_2,"['PLA Ingeo 4043D', 'PHB ENMAT™ Y1000P', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.39729291473978867, PHB, ENMAT™ Y1000P, 0.4470888909269784, PHA, PHACT A1000P, 0.1556181943332329",True,44.46846895968394,,50.0
52,3,random_sample_3,"['PLA Ingeo 4043D', 'PHB ENMAT™ Y1000P', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.4905202043733173, PHB, ENMAT™ Y1000P, 0.3781646567374904, PHA, PHACT A1000P, 0.1313151388891923",True,45.05008362813562,,50.0
