test_id,n_polymers,blend_type,materials,polymer_types,blend_input,success,ts,error,thickness
64,2,equal,"['PGA Kuredux PGA', 'PCL Capa 6500']","['PGA', 'PCL']","PGA, Kuredux PGA, 0.5, PCL, Capa 6500, 0.5",True,65.48,,100
65,2,random_sample_1,"['PGA Kuredux PGA', 'PCL Capa 6500']","['PGA', 'PCL']","PGA, Kuredux PGA, 0.010512437139379794, PCL, Capa 6500, 0.9894875628606202",True,36.02,,100
66,2,random_sample_2,"['PGA Kuredux PGA', 'PCL Capa 6500']","['PGA', 'PCL']","PGA, Kuredux PGA, 0.6596086099097777, PCL, Capa 6500, 0.3403913900902223",True,126.16,,100
67,2,equal,"['PBAT ecoflex® F Blend C1200', 'PBS BioPBS FZ91']","['PBAT', 'PBS']","PBAT, ecoflex® F Blend C1200, 0.5, PBS, BioPBS FZ91, 0.5",True,35.87,,100
68,2,random_sample_1,"['PBAT ecoflex® F Blend C1200', 'PBS BioPBS FZ91']","['PBAT', 'PBS']","PBAT, ecoflex® F Blend C1200, 0.22748535303569545, PBS, BioPBS FZ91, 0.7725146469643046",True,36.25,,100
69,2,random_sample_2,"['PBAT ecoflex® F Blend C1200', 'PBS BioPBS FZ91']","['PBAT', 'PBS']","PBAT, ecoflex® F Blend C1200, 0.07403385163759889, PBS, BioPBS FZ91, 0.9259661483624013",True,39.42,,100
70,2,equal,"['PBAT ecoflex® F Blend C1200', ""Bio-PE I'm green STN7006""]","['PBAT', 'Bio-PE']","PBAT, ecoflex® F Blend C1200, 0.5, Bio-PE, I'm green STN7006, 0.5",True,39.54,,100
71,2,random_sample_1,"['PBAT ecoflex® F Blend C1200', ""Bio-PE I'm green STN7006""]","['PBAT', 'Bio-PE']","PBAT, ecoflex® F Blend C1200, 0.7887626157991137, Bio-PE, I'm green STN7006, 0.21123738420088628",True,38.11,,100
72,2,random_sample_2,"['PBAT ecoflex® F Blend C1200', ""Bio-PE I'm green STN7006""]","['PBAT', 'Bio-PE']","PBAT, ecoflex® F Blend C1200, 0.2656483876105246, Bio-PE, I'm green STN7006, 0.7343516123894753",True,32.14,,100
73,2,equal,"['PBAT ecoflex® F Blend C1200', 'PCL Capa 6500']","['PBAT', 'PCL']","PBAT, ecoflex® F Blend C1200, 0.5, PCL, Capa 6500, 0.5",True,36.07,,100
74,2,random_sample_1,"['PBAT ecoflex® F Blend C1200', 'PCL Capa 6500']","['PBAT', 'PCL']","PBAT, ecoflex® F Blend C1200, 0.05046700197826546, PCL, Capa 6500, 0.9495329980217346",True,36.24,,100
75,2,random_sample_2,"['PBAT ecoflex® F Blend C1200', 'PCL Capa 6500']","['PBAT', 'PCL']","PBAT, ecoflex® F Blend C1200, 0.5746564438423212, PCL, Capa 6500, 0.4253435561576789",True,35.07,,100
76,2,equal,"['PBS BioPBS FZ91', ""Bio-PE I'm green STN7006""]","['PBS', 'Bio-PE']","PBS, BioPBS FZ91, 0.5, Bio-PE, I'm green STN7006, 0.5",True,44.38,,100
77,2,random_sample_1,"['PBS BioPBS FZ91', ""Bio-PE I'm green STN7006""]","['PBS', 'Bio-PE']","PBS, BioPBS FZ91, 0.8014736595772113, Bio-PE, I'm green STN7006, 0.19852634042278863",True,42.5,,100
78,2,random_sample_2,"['PBS BioPBS FZ91', ""Bio-PE I'm green STN7006""]","['PBS', 'Bio-PE']","PBS, BioPBS FZ91, 0.1308697972076397, Bio-PE, I'm green STN7006, 0.8691302027923603",True,36.94,,100
79,2,equal,"['PBS BioPBS FZ91', 'PCL Capa 6500']","['PBS', 'PCL']","PBS, BioPBS FZ91, 0.5, PCL, Capa 6500, 0.5",True,34.98,,100
80,2,random_sample_1,"['PBS BioPBS FZ91', 'PCL Capa 6500']","['PBS', 'PCL']","PBS, BioPBS FZ91, 0.9480439612452487, PCL, Capa 6500, 0.051956038754751244",True,42.67,,100
81,2,random_sample_2,"['PBS BioPBS FZ91', 'PCL Capa 6500']","['PBS', 'PCL']","PBS, BioPBS FZ91, 0.934927951994854, PCL, Capa 6500, 0.06507204800514609",True,42.7,,100
82,2,equal,"[""Bio-PE I'm green STN7006"", 'PCL Capa 6500']","['Bio-PE', 'PCL']","Bio-PE, I'm green STN7006, 0.5, PCL, Capa 6500, 0.5",True,32.99,,100
83,2,random_sample_1,"[""Bio-PE I'm green STN7006"", 'PCL Capa 6500']","['Bio-PE', 'PCL']","Bio-PE, I'm green STN7006, 0.8672951159157112, PCL, Capa 6500, 0.13270488408428877",True,34.24,,100
84,2,random_sample_2,"[""Bio-PE I'm green STN7006"", 'PCL Capa 6500']","['Bio-PE', 'PCL']","Bio-PE, I'm green STN7006, 0.162425734024841, PCL, Capa 6500, 0.8375742659751589",True,37.25,,100
